이화여자대학교 서울병원,서울 강서구 공항대로 260,09:30 ~ 12:00,미운영,미운영,1522-7000
희명병원,서울특별시 금천구 시흥대로 244,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,02-2219-7231
순천향대학교서울병원,용산구 대사관로 59(한남동),08:30 ~ 17:00,08:30 ~ 12:00,미운영,02-709-9114
부산강서구보건소,부산 강서구 대저2동 1932-1 강서브라이트센터 보건소,09:00 ~ 18:00,9:00 ~ 14:00,09:00 ~ 14:00,051-970-3415
부산북구보건소,부산 북구 금곡대로 348 ,09:00 ~ 18:00,09:00 ~ 14:00,09:00 ~ 14:00,051-309-4500
영남대학교 병원,대구 남구 현충로 170,08:30 ~ 13:00,미운영,미운영,053-620-3177
대구의료원,대구 서구 평리로 157,08:30 ~ 17:30,08:30 ~ 17:30,08:30 ~ 17:30,053-560-7575
수성구보건소,대구 수성구 중동 266-5(수성로213) ,09:00 ~ 18:00,09:00 ~ 12:00,09:00 ~ 12:00,053-666-3266
대전한국병원,대전광역시 동구 동서대로 1672 ,09:00 ~ 16:00,09:00 ~ 11:00,미운영,042-606-1500
대전광역시 유성구보건소,대전 유성구 장대동(온천2동) 282-15 유성구보건소 유성구보건소,09:30 ~ 17:00,09:30 ~ 12:00,09:30 ~ 12:00,042-611-5000
과천시보건소,경기 과천시 중앙동 과천시청 관문로 69 (중앙동),09:00 ~ 18:00,09:00 ~ 12:00,09:00 ~ 12:00,02-2150-3832
안산시단원보건소,경기 안산시 단원구 초지동 666-8 안산시 단원보건소,09:30 ~ 16:30,09:30 ~ 12:30,미운영,031-481-6363
안성시보건소,경기 안성시 도기동  67-21,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,031-678-6811
경기도의료원 수원병원,수원시 장안구 수성로245번길 69,10:00 ~ 16:30,10:00 ~ 16:30,10:00 ~ 16:30,031-888-0190
파주시보건소,경기 파주시 금촌동(금촌1동) 953-1 파주시보건소 ,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,031-940-9761
의료법인 백송의료재단 굿모닝병원,경기도 평택시 중앙로 338,08:30 ~ 17:30,08:30 ~ 13:00,미운영,031-5182-7582
화성시보건소,경기 화성시 동탄산단7길 60,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,031-5189-1200
박병원,평택시 송탄로 33,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,031-666-2600
영월군보건소,강원 영월군 영월읍 하송리 246 영월군 보건소 ,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,033-370-2448
인제군보건소,강원 인제군 인제읍 남북리 789-1 ,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,033-461-2425
괴산군보건소,충북 괴산군 괴산읍 동부리 641 괴산군보건소,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,043-832-4000
보은군보건소,충북 보은군 보은읍 삼산리 170-2,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,043-540-5613
진천군보건소,충북 진천군 진천읍 벽암리 570 진천군보건소 본관,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,043-539-7334
청주시상당보건소,충북 청원군 남일면 효촌리 92-2,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,043-201-3143
충청북도 청주의료원,충북 청주시 서원구 흥덕로 48,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,043-279-0400
충주시보건소,충북 충주시 문화동 1655 충주시 건강복지타운 충주시 보건소,09:00 ~ 20:00,09:00 ~ 18:00,09:00 ~ 18:00,043-850-0460
건국대학교충주병원,충북 충주시 국원대로82,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,043-840-8330
공주시보건소,충남 공주시 교동 120 보건소,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,041-840-8600
보령시보건소,충남 보령시 남포면 봉덕리 39-1 ,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,041-930-0900
광양시보건소,"전남 광양시 광양읍 칠성리 70 광양만권경제자유구역청, 광양시제2청사",09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,061-797-4015
담양군보건소,전남 담양군 담양읍 만성리 135,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,061-380-3967
무안군보건소,전남 무안군 무안읍 성동리 712-1,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,061-450-5021
대송의료재단 무안병원,전남 무안군 무안읍 몽탄로 65,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,061-450-3119
여수시보건소,"전남 여수시 시청서4길 47(학동, 여수시보건소)",09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,061-659-4248
영광군보건소,전라남도 영광군 영광읍 남천리 326-5,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,061-350-5552
영암군보건소,전남 영암군 영암읍 춘양리 525 영암군보건소 ,00:00 ~ 23:59,00:00 ~ 23:59,00:00 ~ 23:59,061-470-6536
함평군보건소,전남 함평군 함평읍 기각리 253,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,061-320-2417
구례군보건의료원,전남 구례군 구례읍 동편제길 30,09:00 ~ 20:00,09:00 ~ 18:00,09:00 ~ 18:00,061-780-2673
장성군보건소,전남 장성군 장성읍 영천리 1475-4,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,061-390-8308
김천시보건소,경북 김천시 신음동 1284 ,09:00 ~ 17:00,09:00 ~ 17:00,09:00 ~ 17:00,054-433-4000
김천제일병원,경북 김천시 신음1길 12 ,09:00 ~ 18:00,09:00 ~ 13:00,미운영,054-420-9300
문경시보건소,경북 문경시 점촌동(점촌1동) 232 문경시보건소,09:00 ~ 18:00,미운영,미운영,054-550-8208
문경중앙병원,경북 문경시 중앙로 117-18 ,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,054-550-2011
영덕군보건소,경북 영덕군 영덕읍 군청길 53,미운영,09:00 ~ 17:00,09:00 ~ 17:00,054-730-6894
예천군보건소,경북 예천군 예천읍 노상리 125-1 예천군보건소 보건소,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,054-650-8042
김해시보건소,경남 김해시 외동(내외동) 1261-3 김해시 보건소,09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,055-330-4481
진주시보건소,경남 진주시 초전동(초장동) 348-2  1층 진주시보건소,00:00 ~ 24:00,00:00 ~ 24:00,00:00 ~ 24:00,055-749-5714
한일병원,진주시 범골로 17,00:00 ~ 24:00,09:00 ~ 13:00,미운영,055-750-1333
제주시(서부보건소),제주특별자치도 제주시 한림읍 한림리 966-1번지 (한림리),09:00 ~ 18:00,09:00 ~ 18:00,09:00 ~ 18:00,064-728-4141
